Image,Class,Recaptured_Probability,Flag
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_1608014002_LD_658633_2025-02-19R1922025091008.jpeg,clear,-6.082086563110352,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_1608014002_LD_658633_2025-02-20R2022025090449.jpeg,clear,-5.305339336395264,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_1608014002_LD_658633_2025-02-21R2122025091133.jpeg,clear,-6.38950252532959,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_1608014002_LD_658633_2025-02-22R2222025090752.jpeg,clear,-5.465181350708008,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_1609002001_LD_669588_2025-02-19R1922025092425.jpeg,clear,-1.343936800956726,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_1609002001_LD_669588_2025-02-20R2022025094121.jpeg,clear,-5.143463611602783,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_1609002001_LD_669588_2025-02-21R2122025092308.jpeg,clear,-2.194032669067383,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_1610011006_IC_383181_2025-02-19R1922025095303.jpeg,clear,-4.587986469268799,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-22R2222025103805.jpeg,clear,-4.827125072479248,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-23R2322025100311.jpeg,clear,-5.0440545082092285,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-24R2422025094429.jpeg,clear,-5.225306510925293,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-24R2422025094603.jpeg,clear,-5.225306510925293,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-24R2422025094607.jpeg,clear,-5.225306510925293,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-24R2422025094611.jpeg,clear,-5.225306510925293,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-24R2422025094615.jpeg,clear,-5.225306510925293,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-24R2422025094620.jpeg,clear,-5.225306510925293,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-24R2422025094651.jpeg,clear,-5.225306510925293,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-24R2422025094657.jpeg,clear,-5.225306510925293,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-24R2422025094701.jpeg,clear,-5.225306510925293,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-24R2422025094705.jpeg,clear,-5.225306510925293,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-24R2422025094728.jpeg,clear,-5.225306510925293,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-24R2422025094731.jpeg,clear,-5.225306510925293,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-24R2422025094735.jpeg,clear,-5.225306510925293,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-25R2522025104817.jpeg,clear,-5.144045829772949,
