Image,Class,Flag,Recaptured_Probability
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1000_1701005032_FP_22012034640003_2025-04-10R1042025093708.jpeg,not_recaptured,1,0.8877636
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1000_1701006040_LD_22012034947728_2025-04-10R1042025064552.jpeg,not_recaptured,1,0.9979067
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1000_1711007049_WC_22012035127711_2025-04-10R1042025084443.jpeg,not_recaptured,1,0.98816407
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1001_1701005032_FP_22012034640003_2025-04-10R1042025093712.jpeg,not_recaptured,0,0.5138403
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1001_1701006040_LD_22012034947728_2025-04-10R1042025064557.jpeg,not_recaptured,1,0.99447614
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1001_1708002023_RS_22012035136345_2025-04-10R1042025124215.jpeg,not_recaptured,1,0.8938541
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1001_1709005073_AV_GIS_35786_2025-04-10R1042025053833.jpeg,not_recaptured,1,0.99338186
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1001_1709005073_AV_GIS_35786_2025-04-10R1042025092804.jpeg,not_recaptured,1,0.9846867
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1001_1711006052_LD_22012034946839_2025-04-10R1042025060113.jpeg,not_recaptured,1,0.9972589
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1002_1701005032_FP_22012034640003_2025-04-10R1042025093722.jpeg,not_recaptured,1,0.97177356
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1002_1701006040_LD_22012034947728_2025-04-10R1042025064602.jpeg,not_recaptured,1,0.9978496
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1002_1711004009_LD_22012034947721_2025-04-10R1042025043942.jpeg,not_recaptured,1,0.99695
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1002_1711007049_WC_22012035127711_2025-04-10R1042025084454.jpeg,not_recaptured,1,0.9823637
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1003_1701005032_FP_22012034640003_2025-04-10R1042025093727.jpeg,not_recaptured,0,0.78199166
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1003_1711004022_WC_22012035056994_2025-04-10R1042025103701.jpeg,recaptured,0,0.1534163
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1003_1711007049_WC_22012035127711_2025-04-10R1042025084501.jpeg,not_recaptured,1,0.980449
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1004_1701005064_LD_22012034949346_2025-04-10R1042025053701.jpeg,not_recaptured,1,0.88363636
